2024-02-04 12:33:49,380 [main] INFO  c.e.W.WireMockAndSpockTestApplication - Starting WireMockAndSpockTestApplication using Java 17.0.9 on CHE-JRAJAN-LT with PID 26372 (C:\Users\jayasri.rajan\Downloads\WireMockAndSpockTest\WireMockAndSpockTest\target\classes started by Jayasri.Rajan in C:\Users\jayasri.rajan\Downloads\WireMockAndSpockTest)
2024-02-04 12:33:49,383 [main] INFO  c.e.W.WireMockAndSpockTestApplication - No active profile set, falling back to default profiles: default
2024-02-04 12:33:50,659 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2024-02-04 12:33:50,668 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2024-02-04 12:33:50,669 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-02-04 12:33:50,669 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.46]
2024-02-04 12:33:50,758 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-02-04 12:33:50,758 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1300 ms
2024-02-04 12:33:51,814 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2024-02-04 12:33:51,878 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path ''
2024-02-04 12:33:51,891 [main] INFO  c.e.W.WireMockAndSpockTestApplication - Started WireMockAndSpockTestApplication in 2.931 seconds (JVM running for 3.468)
2024-02-04 12:33:51,893 [main] INFO  o.s.b.a.ApplicationAvailabilityBean - Application availability state LivenessState changed to CORRECT
2024-02-04 12:33:51,895 [main] INFO  o.s.b.a.ApplicationAvailabilityBean - Application availability state ReadinessState changed to ACCEPTING_TRAFFIC
2024-02-04 12:34:16,928 [main] INFO  c.e.W.WireMockAndSpockTestApplication - Starting WireMockAndSpockTestApplication using Java 17.0.9 on CHE-JRAJAN-LT with PID 7580 (C:\Users\jayasri.rajan\Downloads\WireMockAndSpockTest\WireMockAndSpockTest\target\classes started by Jayasri.Rajan in C:\Users\jayasri.rajan\Downloads\WireMockAndSpockTest)
2024-02-04 12:34:16,930 [main] INFO  c.e.W.WireMockAndSpockTestApplication - No active profile set, falling back to default profiles: default
2024-02-04 12:34:18,089 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2024-02-04 12:34:18,099 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2024-02-04 12:34:18,099 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-02-04 12:34:18,099 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.46]
2024-02-04 12:34:18,171 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-02-04 12:34:18,172 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1174 ms
2024-02-04 12:34:18,966 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2024-02-04 12:34:19,062 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path ''
2024-02-04 12:34:19,078 [main] INFO  c.e.W.WireMockAndSpockTestApplication - Started WireMockAndSpockTestApplication in 2.519 seconds (JVM running for 2.924)
2024-02-04 12:34:19,080 [main] INFO  o.s.b.a.ApplicationAvailabilityBean - Application availability state LivenessState changed to CORRECT
2024-02-04 12:34:19,083 [main] INFO  o.s.b.a.ApplicationAvailabilityBean - Application availability state ReadinessState changed to ACCEPTING_TRAFFIC
